GCdata,name,retentionTime,length,coeffA,coeffB,coeffC,maxSignal,concentration
Table,Benzene,90,15,0.084,0.234,0.1,0,0.1
Table,Toluene,120,30,0.084,0.234,0.1,0.0002,0.1
Table,Ethylebenzene,310,40,0.084,0.234,0.1,0.0002,0.1
Table,Xylene,500,50,0.084,0.234,0.1,0.0003,0.1
