name,CF,Ionization Energy (eV),Polarity (Debye),Mass (g/mol),Boiling Point (°C),retentionTime,deltaT,OSHA PEL (ppm),NIOSH REL (ppm),EPA Limit (ppm),temp,pressure,column,sensor,slope,constant,coeffA,coeffB,coeffC,coeffD,lastUpdate,calData
Acetaldehyde,C2H4O,10.23,2.52,44.05,20.2,,,200,25,NA,180,170,Restek_MXT-WAX_70670-273,piD-TECH_045-014,,,,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""}]"
Ethanol,C2H5OH,10.47,1.69,46.07,78.37,120,140,1000,1000,NA,180,170,Restek_MXT-WAX_70670-273,piD-TECH_045-014,,,,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""}]"
Acetone,C3H6O,9.69,2.88,58.08,56,80,20,1000,250,NA,180,170,Restek_MXT-WAX_70670-273,piD-TECH_045-014,,,,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""}]"
Propanol,C3H7OH,10.22,1.68,60.1,97,80,20,200,200,NA,180,170,Restek_MXT-WAX_70670-273,piD-TECH_045-014,,,,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""}]"
Butanol,C4H10O,10.5,1.75,74.12,117.7,110,20,,,,180,170,Restek_MXT-WAX_70670-273,piD-TECH_045-014,,,,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""}]"
Hexanal,C6H12O,9.45,2.4,100.16,131,260,20,NA,NA,NA,180,170,Restek_MXT-WAX_70670-273,piD-TECH_045-014,,,,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""}]"
Chloroform,CHCl3,11.42,1.04,119.38,61.15,,,50,2,NA,180,170,Restek_MXT-WAX_70670-273,piD-TECH_045-014,,,,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""}]"
Carbon Monoxide,CO,14.01,0.12,28.01,-191.5,,,50,35,9,180,170,Restek_MXT-WAX_70670-273,piD-TECH_045-014,,,,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""}]"
Ammonia,NH3,10.18,1.47,17.03,-33.34,,,50,25,NA,180,170,Restek_MXT-WAX_70670-273,piD-TECH_045-014,,,,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""}]"
Nitrogen Dioxide,NO2,9.59,0.32,46.01,21,40,20,5,1,0.053,180,170,Restek_MXT-WAX_70670-273,piD-TECH_045-014,,,,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""}]"
Sulfur Dioxide,SO2,12.35,1.63,64.06,-10.05,,,5,2,0.5,180,170,Restek_MXT-WAX_70670-273,piD-TECH_045-014,,,,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""}]"
Hydrogen Sulfide,H2S,10.46,0.97,34.08,-60.2,40,20,20,10,NA,180,170,Restek_MXT-WAX_70670-273,piD-TECH_045-014,,,,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""}]"
Methyl Mercaptan,CH3SH,8.93,1.52,48.11,6,,,0.5,0.5,NA,180,170,Restek_MXT-WAX_70670-273,piD-TECH_045-014,,,,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""}]"
Ethyl Mercaptan,C2H5SH,8.69,1.48,62.13,35.2,,,0.5,0.5,NA,180,170,Restek_MXT-WAX_70670-273,piD-TECH_045-014,,,,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""}]"
Propyl Mercaptan,C3H8S,8.61,1.56,76.16,67.6,,,NA,NA,NA,180,170,Restek_MXT-WAX_70670-273,piD-TECH_045-014,,,,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""}]"
Trichloroethylene,C2HCl3,10.61,1.65,131.39,87.2,,,100,25,NA,180,170,Restek_MXT-WAX_70670-273,piD-TECH_045-014,,,,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""}]"
Tetrachloroethylene,C2Cl4,9.33,0,165.83,121.1,,,100,25,NA,180,170,Restek_MXT-WAX_70670-273,piD-TECH_045-014,,,,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""}]"
