input,sec,interval,sum,value,slope
Table,0,10,0,0.08441634,0.0003231999999999957
Table,3,10,0,0.08550507,-0.0008012400000000086
Table,6,10,0,0.08487133,-0.00030828999999998885
Table,9,10,0,0.08473954,-0.0010486799999999963
Table,12,10,0,0.08470383,-0.0007215999999999889
Table,15,10,0,0.08456304,-0.001265616000000011
Table,18,10,0.0006459709999999952,0.08369086,-0.0010527700000000084
Table,21,10,0.0023637010000000097,0.08398223,-0.0008327750000000078
Table,24,10,0.0008225650000000112,0.083297424,0.0006502560000000018
Table,27,10,0.00005257900000001092,0.08263809,0.0008284900000000012
Table,30,10,0,0.083149455,0.0008849550000000067
Table,33,10,0.00031051399999999785,0.08394768,-0.0008908799999999967
Table,36,10,0,0.08346658,0.00005850400000000089
Table,39,10,0,0.08403441,-0.0005556000000000033
Table,42,10,0,0.0830568,0.0008076100000000003
Table,45,10,0,0.083525084,-0.00042460900000000634
Table,48,10,0,0.08347881,-0.0005511500000000003
Table,51,10,0.0021605550000000084,0.08386441,-0.0012179999999999969
Table,54,10,0.0020809250000000112,0.083100475,-0.000004984999999999018
Table,57,10,0.0006674249999999993,0.08292766,0.0006102800000000047
Table,60,10,0,0.08264641,0.0015552600000000028
Table,63,10,0,0.08309549,-0.00008461499999999622
Table,66,10,0.000518839000000007,0.08353794,-0.0008032200000000073
Table,69,10,0.0017139190000000082,0.08420167,-0.0006575600000000015
Table,72,10,0.001252033999999999,0.083010875,0.0004316250000000049
Table,75,10,0,0.08273472,0.0007447740000000036
Table,78,10,0,0.08354411,0.0005375199999999997
Table,81,10,0,0.0834425,-0.000030260000000004172
Table,84,10,0,0.083479494,-0.0007097640000000016
Table,87,10,0.0009666990000000014,0.08408163,-0.0006761650000000063
Table,90,10,0.000978345999999991,0.08341224,-0.00014681599999999406
Table,93,10,0.0005369060000000037,0.08276973,0.00046612999999999516
Table,96,10,0,0.083405465,0.0006473850000000003
Table,99,10,0,0.083265424,-0.00013516900000000442
Table,102,10,0,0.08323586,0.00002469000000000776
Table,105,10,0,0.08405285,-0.0002617949999999952
Table,108,10,0,0.083130255,0.00002516099999999577
Table,111,10,0,0.08326055,-0.00013868400000000003
Table,114,10,0.0018555419999999878,0.083791055,-0.0008961249999999976
Table,117,10,0.0012157500000000016,0.083155416,0.0004231479999999982
Table,120,10,0.000871346000000009,0.083121866,0.00028020399999999224
Table,123,10,0,0.08289493,0.0011521899999999974
Table,126,10,0,0.083578564,-0.00021664399999998807
Table,129,10,0,0.08340207,-0.00006420000000000037
Table,132,10,0.0014585589999999982,0.08404712,-0.000975344000000003
Table,135,10,0.00033236300000001606,0.08336192,0.00031677999999998874
Table,138,10,0,0.08333787,0.0002993150000000083
Table,141,10,0,0.083071776,0.0008424640000000011
Table,144,10,0.0007429610000000003,0.0836787,-0.0008094159999999934
Table,147,10,0.0009381919999999905,0.083637185,-0.00008693499999999632
Table,150,10,0.000699461999999984,0.08391424,-0.00037877999999999523
Table,153,10,0,0.082869284,0.0012086759999999919
Table,156,10,0,0.08355025,0.00010829599999999384
Table,159,10,0,0.08353546,-0.0006175100000000017
Table,162,10,0,0.08407796,-0.000575519999999996
Table,165,10,0,0.083658546,0.000011774000000006057
Table,168,10,0.0002051599999999959,0.08291795,0.00028705999999999177
Table,171,10,0.0009967149999999814,0.08350244,-0.0004425399999999913
Table,174,10,0.0003964550000000039,0.08367032,0.0001191699999999879
Table,177,10,0,0.08320501,0.0005285299999999993
Table,180,10,0,0.0830599,0.0003490149999999942
Table,183,10,0,0.08378949,-0.0004810899999999896
Table,186,10,0.00021101599999999443,0.08373354,-0.0012058059999999898
Table,189,10,0.002042310999999991,0.083408915,-0.0010358099999999981
Table,192,10,0.0015692870000000025,0.0833084,0.00017341999999999358
Table,195,10,0.0010300709999999935,0.082527734,0.001073405999999999
Table,198,10,0.0005766109999999908,0.082373105,0.0007954849999999986
Table,201,10,0.0017790689999999804,0.08348182,-0.000299603999999995
Table,204,10,0.0003233889999999934,0.08360114,0.00053418999999999
Table,207,10,0,0.08316859,0.0003420249999999958
Table,210,10,0,0.083182216,0.0009028539999999946
Table,213,10,0,0.08413533,-0.000921489999999997
Table,216,10,0.0010373860000000151,0.083510615,-0.0007475750000000003
Table,219,10,0.0019683260000000063,0.08408507,-0.000860989999999992
Table,222,10,0.0009365040000000047,0.08321384,0.0006271860000000018
Table,225,10,0,0.08276304,0.0012711900000000054
Table,228,10,0,0.08322408,0.00006994999999999918
Table,231,10,0.0004219199999999923,0.083841026,-0.0004046359999999999
Table,234,10,0,0.08403423,-0.00007677000000000378
Table,237,10,0,0.08329403,0.000349069999999993
Table,240,10,0,0.08343639,0.00014962000000000308
Table,243,10,0.0019109689999999985,0.08395746,-0.0013069549999999985
Table,246,10,0.0005026589999999886,0.0836431,0.000417150000000005
Table,249,10,0.00042546899999999777,0.08358601,0.000019549999999993184
Table,252,10,0,0.082650505,0.0014742690000000003
Table,255,10,0.0005440660000000097,0.08406025,-0.0009911600000000048
Table,258,10,0.0003273760000000042,0.08360556,-0.00005763999999999769
Table,261,10,0.00019807999999998938,0.084124774,-0.00048005399999999365
Table,264,10,0,0.08306909,0.001081760000000001
Table,267,10,0,0.08354792,-0.0002743300000000032
Table,270,10,0,0.08364472,-0.0006093500000000085
Table,273,10,0.0008635110000000112,0.08415085,-0.0006955899999999959
Table,276,10,0.00046462900000000806,0.08327359,0.00023760600000000132
Table,279,10,0,0.08303537,0.0002049500000000093
Table,282,10,0,0.08345526,0.00042095500000000063
Table,285,10,0,0.083511196,-0.00016127600000000186
Table,288,10,0.0008151389999999925,0.08324032,-0.00034871399999999997
Table,291,10,0.0006206239999999863,0.083876215,-0.00019302499999999945
Table,294,10,0,0.08334992,0.00039714000000000416
Table,297,10,0,0.082891606,0.0006110239999999878
Table,300,10,0,0.08368319,-0.00038754000000000566
Table,303,10,0.0019984820000000098,0.08374706,-0.0009916199999999986
Table,306,10,0.0028428719999999963,0.08350263,-0.0002634399999999898
Table,309,10,0.0014798899999999976,0.08329565,0.0007552960000000025
Table,312,10,0.0000888180000000044,0.08275544,0.001506625999999997
Table,315,10,0,0.08323919,0.0005809499999999967
Table,318,10,0.0010296290000000041,0.084050946,-0.0006076859999999962
Table,321,10,0.00028771499999999395,0.084262066,0.00011555400000000382
Table,324,10,0,0.08382014,-0.000009154999999996805
Table,327,10,0,0.08344326,0.0009232299999999971
Table,330,10,0,0.08437762,-0.0006263600000000064
Table,333,10,0.0008013459999999945,0.083810985,-0.000541495000000003
Table,336,10,0.0025802759999999925,0.08436649,-0.000992350000000003
Table,339,10,0.0011079279999999941,0.08375126,0.0007519960000000048
Table,342,10,0.0002231680000000097,0.08326949,0.0010416999999999926
Table,345,10,0,0.08337414,0.0007865799999999951
Table,348,10,0.000847157000000015,0.084503256,-0.0007203519999999936
Table,351,10,0.00009858700000001108,0.08431119,0.00015694000000000818
Table,354,10,0,0.08416072,0.00006481500000000973
Table,357,10,0,0.083782904,0.0006254019999999971
Table,360,10,0,0.08446813,-0.0005916299999999958
Table,363,10,0.00007110399999998851,0.084225535,-0.0009264199999999972
Table,366,10,0.001245299999999977,0.084408306,-0.0007186559999999981
Table,369,10,0.000658579999999992,0.0838765,0.0003411899999999912
Table,372,10,0.000049014999999999476,0.083299115,0.00044856999999999536
Table,375,10,0,0.08368965,0.0004555399999999904
Table,378,10,0,0.08421769,-0.0002455299999999938
Table,381,10,0.00044666999999999624,0.083747685,-0.0001609949999999971
Table,384,10,0.0014617199999999997,0.08414519,-0.00038892999999999567
Table,387,10,0,0.08397216,0.0004258499999999915
Table,390,10,0,0.08358669,0.0004097500000000004
Table,393,10,0,0.08375626,0.0006261200000000078
Table,396,10,0,0.08439801,-0.001037009999999991
Table,399,10,0.0012389139999999799,0.08399644,-0.0007644499999999999
Table,402,10,0.001623469999999988,0.08438238,-0.0002756960000000058
