input,sec,interval,sum,value,slope
Table,0,10,0,0.08493459,-0.000473650000000006
Table,3,10,0,0.0852217,-0.00107786
Table,6,10,0,0.08512095,-0.0010001699999999947
Table,9,10,0,0.08446094,-0.0002980399999999994
Table,12,10,0,0.08414384,-0.000847859999999992
Table,15,10,0.0007253059999999811,0.08412078,-0.0012466000000000005
Table,18,10,0,0.0841629,-0.00007255000000000456
Table,21,10,0,0.08329598,0.00044580999999999094
Table,24,10,0,0.08287418,0.00035204599999999475
Table,27,10,0.0009743889999999922,0.08409035,-0.001481344999999995
Table,30,10,0.00034652699999999925,0.08374179,-0.0003014640000000013
Table,33,10,0,0.083226226,0.0002520679999999942
Table,36,10,0,0.082609005,0.0010237849999999993
Table,39,10,0.0005789709999999976,0.083440326,-0.0009293259999999942
Table,42,10,0.002026304999999992,0.083478294,-0.00029995399999999117
Table,45,10,0.0024045190000000077,0.08363279,-0.00038113500000000466
Table,48,10,0.0006756190000000162,0.082511,0.0012600599999999934
Table,51,10,0,0.08317834,0.0011473800000000034
Table,54,10,0,0.083251655,-0.0000029209999999890712
Table,57,10,0,0.08377106,-0.00046883999999999815
Table,60,10,0,0.08432572,-0.00035448000000000424
Table,63,10,0,0.083248734,0.00012499599999998834
Table,66,10,0.0006539910000000065,0.08330222,-0.0006451700000000005
Table,69,10,0.0015863650000000062,0.08397124,-0.0004588150000000013
Table,72,10,0.00021605500000000666,0.08337373,0.00034952000000000594
Table,75,10,0,0.08265705,0.0007632860000000019
Table,78,10,0,0.083512425,0.0004735589999999984
Table,81,10,0.0011404460000000033,0.08372325,-0.0010207899999999936
Table,84,10,0.0018425800000000103,0.083420336,-0.0001838200000000012
Table,87,10,0.0012910339999999965,0.083985984,-0.00001973399999999348
Table,90,10,0.0000584339999999961,0.08270246,0.001343999999999998
Table,93,10,0,0.083236516,0.0005183140000000058
Table,96,10,0.0001538400000000023,0.08396625,-0.0005712800000000073
Table,99,10,0,0.08404646,0.00011139999999999761
Table,102,10,0,0.08375483,-0.00026645999999999614
Table,105,10,0,0.08339497,0.00030890000000000084
Table,108,10,0.0006460539999999931,0.08415786,-0.0006347599999999981
Table,111,10,0.00024341400000001123,0.08348837,0.00016925999999999053
Table,114,10,0.0005517480000000047,0.08370387,-0.00026389999999999747
Table,117,10,0,0.0835231,0.0007406940000000001
Table,120,10,0.0005050649999999851,0.08365763,-0.00023337999999999137
Table,123,10,0.0005279619999999929,0.08343997,0.00004443399999999598
Table,126,10,0.0005998899999999918,0.084263794,-0.00041364900000000204
Table,129,10,0,0.08342425,0.0008742799999999912
Table,132,10,0,0.083484404,0.0000673310000000038
Table,135,10,0,0.083850145,-0.00034172100000000316
Table,138,10,0.0004894860000000112,0.08429853,-0.0013062449999999975
Table,141,10,0.0011344209999999966,0.083551735,-0.00024235999999999702
Table,144,10,0.0013327749999999944,0.083508424,-0.0003582939999999951
Table,147,10,0,0.082992285,0.0010901400000000033
Table,150,10,0,0.083309375,0.00040257499999998836
Table,153,10,0,0.08315013,-0.0001599399999999973
Table,156,10,0.0026530399999999954,0.084082425,-0.0015331249999999963
Table,159,10,0.0013429949999999996,0.08371195,0.00033423500000000217
Table,162,10,0.0006846949999999991,0.08299019,0.0006560399999999966
Table,165,10,0,0.0825493,0.0016627649999999966
Table,168,10,0.0003892600000000024,0.084046185,-0.0009758099999999936
Table,171,10,0.00020317000000000252,0.08364623,-0.0000022600000000039255
Table,174,10,0.0011666049999999872,0.084212065,-0.0007515649999999957
Table,177,10,0,0.083070375,0.001143085000000002
Table,180,10,0.00022395000000000054,0.08364397,-0.0001883500000000038
Table,183,10,0,0.0834605,0.000211869999999989
Table,186,10,0,0.08421346,-0.000610109999999997
Table,189,10,0,0.08345562,0.0006221900000000086
Table,192,10,0,0.08367237,-0.000252589999999997
Table,195,10,0,0.08360335,-0.0007850900000000022
Table,198,10,0.0010202539999999982,0.08407781,-0.000822883999999996
Table,201,10,0.0009051299999999901,0.08341978,-0.00019896999999999276
Table,204,10,0,0.08281826,0.0006191200000000008
Table,207,10,0,0.083254926,0.0006001039999999902
Table,210,10,0,0.08322081,-0.00031409400000000087
Table,213,10,0.0016468419999999956,0.08343738,-0.0008695199999999986
Table,216,10,0.0013545059999999914,0.08385503,-0.00007533999999999319
Table,219,10,0,0.082906716,0.0006779279999999943
Table,222,10,0,0.08256786,0.0010442539999999945
Table,225,10,0,0.08377969,-0.00036767599999999734
Table,228,10,0.0005659419999999998,0.083584644,-0.0009828040000000038
Table,231,10,0.002071006000000014,0.083612114,-0.0007208040000000054
Table,234,10,0.0011005500000000057,0.083412014,0.00031739599999999757
Table,237,10,0.0007030299999999934,0.08260184,0.0009693500000000077
Table,240,10,0,0.08289131,0.0007842600000000088
Table,243,10,0.0006574699999999933,0.08372941,-0.0006530600000000109
Table,246,10,0,0.08357119,0.0005718299999999954
Table,249,10,0,0.08367557,-0.00042166000000000425
Table,252,10,0,0.08307635,0.0005073000000000022
Table,255,10,0,0.08414302,-0.0008060099999999959
Table,258,10,0.0007849400000000117,0.08325391,-0.00042894000000000265
Table,261,10,0.0021979099999999974,0.08358365,-0.00056835999999999
Table,264,10,0.0002742300000000003,0.08333701,0.0007097999999999965
Table,267,10,0,0.08282497,0.0006435000000000052
Table,270,10,0,0.08301529,0.0008446099999999956
Table,273,10,0.00033046000000000464,0.08404681,-0.0012138800000000005
Table,276,10,0.0007258860000000089,0.08346847,-0.00018611000000000322
Table,279,10,0.0009500919999999996,0.0838599,-0.0006584399999999963
Table,282,10,0,0.08283293,0.001175010000000004
Table,285,10,0,0.08328236,0.00020931600000000106
Table,288,10,0.0006641179999999913,0.08320146,-0.00043423400000000556
Table,291,10,0.0010023080000000073,0.08400794,-0.0008025300000000096
Table,294,10,0,0.083491676,0.0004740339999999982
Table,297,10,0,0.082767226,0.0009926140000000028
Table,300,10,0,0.08320541,-0.00046433999999999365
Table,303,10,0.0017922040000000056,0.08396571,-0.0008016700000000043
Table,306,10,0.0030446540000000077,0.08375984,-0.0005124199999999995
Table,309,10,0.0020141060000000016,0.08274107,0.0008860940000000039
Table,312,10,0.0008652860000000068,0.08316404,0.0014185300000000012
Table,315,10,0.00045402999999999416,0.08324742,0.0007400300000000026
Table,318,10,0.0015478389999999953,0.083627164,-0.0001444540000000022
Table,321,10,0.001322138999999986,0.08458257,0.00026971000000000633
Table,324,10,0.0004334710000000047,0.08398745,0.00032877399999999
Table,327,10,0,0.08348271,0.000949354999999999
Table,330,10,0,0.08485228,0.00004400999999999711
Table,333,10,0.0009061609999999887,0.084316224,-0.0005598939999999913
Table,336,10,0.0012726039999999827,0.084432065,-0.0002770789999999995
Table,339,10,0.000035663999999990814,0.08489629,0.00004666999999999866
Table,342,10,0,0.08375633,0.0011365699999999895
Table,345,10,0,0.084154986,0.00008936399999999456
Table,348,10,0.0008098400000000061,0.08494296,-0.0011902699999999933
Table,351,10,0.0006276800000000055,0.0848929,-0.0003469299999999953
Table,354,10,0.00003290999999999711,0.08424435,-0.000011659999999996673
Table,357,10,0,0.08375269,0.001168429999999998
Table,360,10,0,0.08454597,-0.000529089999999996
Table,363,10,0,0.08423269,-0.000606430000000005
Table,366,10,0.001866195000000001,0.08492112,-0.0013674850000000016
Table,369,10,0.0001996550000000069,0.08401688,0.0004527599999999965
Table,372,10,0,0.08362626,0.0006416900000000003
Table,375,10,0,0.083553635,0.0007717450000000042
Table,378,10,0.0001551499999999928,0.08446964,-0.0012137799999999976
Table,381,10,0.0009151099999999829,0.08426795,-0.0005849599999999955
Table,384,10,0.0010042849999999937,0.08432538,-0.000506080000000006
Table,387,10,0,0.08325586,0.0012461899999999942
Table,390,10,0,0.08368299,0.0001749999999999946
Table,393,10,0,0.0838193,-0.0004169049999999952
Table,396,10,0.0013091699999999984,0.08450205,-0.001262139999999995
Table,399,10,0.0007096059999999876,0.08385799,0.00008269500000000762
Table,402,10,0.0003048209999999968,0.083402395,0.0003066149999999962
Table,405,10,0,0.08323991,0.0009198599999999946
Table,408,10,0,0.083940685,-0.0005168690000000031
Table,411,10,0,0.08370901,-0.00009816999999999465
Table,414,10,0,0.08415977,-0.0000363149999999951
Table,417,10,0,0.083423816,-0.000002085999999998367
Table,420,10,0,0.08361084,-0.00028381000000000933
Table,423,10,0,0.084123455,-0.00022733499999999518
Table,426,10,0.0002325549999999954,0.08342173,0.00007009500000000612
Table,429,10,0.0012529049999999986,0.08332703,-0.00037022999999999917
Table,432,10,0.0005019649999999931,0.08389612,0.000024860000000001548
Table,435,10,0,0.083491825,0.000577924999999993
Table,438,10,0,0.0829568,0.000650120000000004
Table,441,10,0.0001771210000000023,0.08392098,-0.0007260800000000039
Table,444,10,0.0006882309999999975,0.08406975,-0.0003400949999999986
Table,447,10,0.0005387290000000017,0.08360692,-0.00024833400000000283
Table,450,10,0,0.0831949,0.0007655500000000037
Table,453,10,0,0.083729655,0.00017101499999999659
Table,456,10,0.00008651199999999692,0.083358586,-0.00039783599999999864
Table,459,10,0.0011839800000000011,0.08396045,-0.0006097840000000021
Table,462,10,0.0011147779999999968,0.08390067,-0.000026473999999998554
Table,465,10,0.0011362379999999977,0.08296075,0.0007227699999999976
Table,468,10,0.000615793999999989,0.083350666,0.0004876840000000021
Table,471,10,0.0010894999999999933,0.083874196,-0.00009567600000000287
Table,474,10,0,0.08368352,0.0007442299999999985
Table,477,10,0,0.08383835,-0.00003276000000000667
Table,480,10,0,0.08377852,0.0003780300000000014
Table,483,10,0.000035954000000004704,0.08442775,-0.0010432299999999922
Table,486,10,0,0.08380559,-0.0001195699999999994
Table,489,10,0.00015275399999997719,0.08415655,-0.0005982299999999913
Table,492,10,0,0.08338452,0.0007537539999999954
Table,495,10,0,0.08368602,-0.00027725000000000666
Table,498,10,0,0.08355832,-0.00032375000000001153
Table,501,10,0.001885600000000015,0.084138274,-0.0011418140000000049
Table,504,10,0.0014353000000000143,0.08340877,0.0003648100000000071
Table,507,10,0.0004656350000000198,0.08323457,0.00037863999999999953
Table,510,10,0,0.08299646,0.0011421500000000084
Table,513,10,0,0.08377358,-0.00008548999999999363
Table,516,10,0.00047908700000000304,0.08361321,-0.000591024999999995
Table,519,10,0.0006420450000000077,0.08413861,-0.0006636240000000015
Table,522,10,0,0.08368809,0.0006627599999999984
Table,525,10,0,0.083022185,0.00047995100000000623
Table,528,10,0,0.083474986,-0.0005006659999999968
Table,531,10,0.0006464260000000055,0.08435085,-0.0018497600000000058
Table,534,10,0.0030238799999999927,0.083502136,-0.0011600699999999992
Table,537,10,0.0027960199999999824,0.08297432,0.00008553000000000033
Table,540,10,0,0.08250109,0.0017209660000000043
Table,543,10,0,0.082342066,0.001217383999999988
Table,546,10,0,0.08305985,-0.00014233000000000995
Table,549,10,0.0022591310000000114,0.084222056,-0.0015222210000000042
Table,552,10,0.002268431000000015,0.08355945,-0.00007485999999999604
Table,555,10,0.00019075500000000079,0.08291752,0.0011294400000000093
Table,558,10,0,0.082699835,0.0012045509999999982
Table,561,10,0,0.08348459,-0.00006555999999999229
Table,564,10,0.0009566599999999981,0.08404696,-0.0009482360000000051
Table,567,10,0.0015389460000000132,0.083904386,-0.00024229600000000295
Table,570,10,0.000759500000000024,0.08341903,0.00018717999999999513
Table,573,10,0,0.083098724,0.001011776000000006
Table,576,10,0,0.08366209,0.0003399900000000122
Table,579,10,0,0.08360621,-0.0005922659999999941
Table,582,10,0.00024207599999999385,0.0841105,-0.0010305359999999986
Table,585,10,0.00044149599999999956,0.08400208,-0.0001994200000000057
Table,588,10,0,0.083013944,0.00044149599999999956
Table,591,10,0,0.083079964,NaN
Table,594,10,0,0.08380266,NaN
Table,597,10,0,0.08345544,NaN
Table,600,10,0,0.08401809,NaN
